대분류,신용체크구분,개인법인구분,중분류,소분류,롯데카드,비씨카드,비씨카드 기타,삼성카드,신한카드,우리카드,하나카드,현대카드,KB국민카드,NH농협카드,합계,기준년월
회원수,직불/체크카드,법인,사용불가회원수,사용불가회원수,0,206,95,0,85,2,4,3,20,0,-,202403
회원수,직불/체크카드,법인,순수보유회원수(월말),순수보유회원수(월말),2,549,182,1,166,102,61,11,305,0,-,202403
금융자산,,,현금서비스잔액,현금서비스잔액,731064,6680,0,892467,1520614,633285,336659,653749,1216904,472135,6463557,202403
금융자산,,,합계,합계,4651828,38626,0,6105057,8032151,3305461,2717105,4993353,6697642,2940886,39482109,202403
금융자산,,,대환대출잔액,대환대출잔액,148240,0,0,94153,381318,260416,166919,264306,428745,36507,1780604,202403
금융자산,,,(결제성)리볼빙이월잔액,(결제성)리볼빙이월잔액,1059392,17015,0,1221253,1554486,444378,431400,989711,1495280,110699,7323614,202403
국내이용금액,신용카드,개인,일시불,일반,8434528,2462618,8116563,14194051,16247638,6358938,6002821,16715929,13414558,6766646,90597727,202402
국내이용금액,신용카드,개인,일시불,국세/지방세등,404116,37127,139241,752689,2309257,122398,86862,288307,676812,89635,4767203,202402
국내이용금액,신용카드,개인,할부,일반,2528236,598041,1813164,4833132,3992234,1622842,1229146,3808418,3414427,1632710,23659186,202402
국내이용금액,신용카드,개인,할부,국세/지방세등,143699,71775,257751,403814,334454,215879,120421,305364,245907,203021,2044334,202402
국내이용금액,신용카드,개인,현금서비스,현금서비스,998121,181524,1125772,1187006,2139946,889070,458838,1027488,1674831,667133,9223957,202402
국내이용금액,신용카드,개인,카드론,카드론,960905,10302,0,1628992,1349739,434392,305710,1050888,1114604,464843,7320375,202402
국내이용금액,신용카드,법인,일시불,일반,1085897,3560355,2668374,1800049,2226062,1888422,2078860,1299861,2522865,1970226,18432597,202402
국내이용금액,신용카드,법인,일시불,국세/지방세등,194208,279172,679926,403061,162359,787054,440988,930013,320427,101065,3618347,202402
국내이용금액,신용카드,법인,일시불,구매전용,2237345,119621,37509,587823,984359,9383,13419,2313214,0,32629,6297793,202402
국내이용금액,신용카드,법인,할부,일반,1546,251972,48978,7311,2945,25061,40844,1311,39449,108557,478996,202402
국내이용금액,신용카드,법인,할부,국세/지방세등,281,261683,13884,0,0,6585,29144,1204,9724,40363,348984,202402
국내이용금액,신용카드,법인,할부,구매전용,0,46,264,0,0,0,0,12390,0,0,12436,202402
국내이용금액,직불/체크카드,개인,일반,일반,177698,2768309,3487743,134988,3782698,2642546,2025486,166824,4792969,7905251,24396769,202402
국내이용금액,직불/체크카드,개인,국세/지방세등,국세/지방세등,763,15662,16045,1259,160735,12552,11073,792,69061,43310,315207,202402
국내이용금액,직불/체크카드,법인,일반,일반,157,733860,905155,3503,583974,732941,463209,48988,940018,1065311,4571961,202402
국내이용금액,직불/체크카드,법인,국세/지방세등,국세/지방세등,0,491074,81729,2,5589,26128,59443,144,22208,30149,634737,202402
국내이용금액,직불/체크카드,법인,구매전용,구매전용,0,0,0,0,93527,0,0,2975,0,0,96502,202402
